"Admin2","year","PR","LCI","UCI","source","sd_low","sd_high","sd"
"Banikoara",2015,48.4574325426019,26.1314001526798,71.8894205142167,"MAP shared by Punam",11.3908328520011,11.9550959038851,11.9550959038851
"Banikoara",2016,50.6737477643413,32.1323144850464,68.0906638587727,"MAP shared by Punam",9.45991493841574,8.88618168083236,9.45991493841574
"Banikoara",2017,48.2371082150447,32.7649812742374,61.0170771885636,"MAP shared by Punam",7.89394231673846,6.52039233342798,7.89394231673846
"Banikoara",2018,46.6562081548187,32.0272639628809,60.7771604534907,"MAP shared by Punam",7.46374703670297,7.20456749932241,7.46374703670297
"Banikoara",2019,44.9867824290605,28.5864241726054,61.8132852148846,"MAP shared by Punam",8.36752972268115,8.58495040093068,8.58495040093068
"Gogounou",2000,39.8444337731361,8.98282441582035,78.0725602733054,"MAP shared by Punam",15.745719059855,19.5041461735557,19.5041461735557
"Gogounou",2001,41.2525543040037,8.32548944992807,81.5065721484692,"MAP shared by Punam",16.7995228847324,20.53776420636,20.53776420636
"Gogounou",2002,43.9610602456769,7.68096543756659,85.8855067189585,"MAP shared by Punam",18.5102524531175,21.390023710858,21.390023710858
"Gogounou",2003,47.1419512399276,8.83143219430463,85.9872380510864,"MAP shared by Punam",19.5461831865423,19.8190238832442,19.8190238832442
"Gogounou",2004,50.9354207461341,11.7171266974607,84.914252570802,"MAP shared by Punam",20.0093336983027,17.3361386860551,20.0093336983027
"Gogounou",2005,54.4557889507876,12.6673431966797,89.2090243732019,"MAP shared by Punam",21.3206355888306,17.7312425624563,21.3206355888306
"Gogounou",2006,56.6381386306183,12.2946099191672,91.3960009695552,"MAP shared by Punam",22.6242493425771,17.7336032341514,22.6242493425771
"Gogounou",2007,56.3303139651503,13.8072962633713,91.1250973886895,"MAP shared by Punam",21.6954171947852,17.7524405222139,21.6954171947852
"Gogounou",2008,55.0827989147094,19.872081844268,86.8587645192655,"MAP shared by Punam",17.9646515665518,16.2122273492633,17.9646515665518
"Gogounou",2009,52.4567791342314,21.5825982750311,80.1081753685467,"MAP shared by Punam",15.7521330914287,14.1078552215894,15.7521330914287
"Gogounou",2010,49.035802216449,22.3317292226786,73.1430407281646,"MAP shared by Punam",13.624527037638,12.2996114855692,13.624527037638
"Gogounou",2011,44.3132911973087,25.0354638396736,60.4406983857487,"MAP shared by Punam",9.83562620287504,8.22826897369389,9.83562620287504
"Gogounou",2012,41.5812366521817,29.9898187132726,54.9042106818367,"MAP shared by Punam",5.91398874434137,6.79743572941578,6.79743572941578
"Gogounou",2013,40.9270054522567,23.2026191925286,62.4711627375162,"MAP shared by Punam",9.04305421414696,10.9919169822753,10.9919169822753
"Gogounou",2014,41.3248135956161,20.3658319948907,68.0299017967485,"MAP shared by Punam",10.6933579595538,13.6250450005778,13.6250450005778
"Gogounou",2015,42.9734238411017,22.8447251262451,69.2415562252387,"MAP shared by Punam",10.2697442422738,13.4021083592536,13.4021083592536
"Gogounou",2016,44.7135319985335,29.655353426094,65.2230787547033,"MAP shared by Punam",7.68274416961195,10.4640544674336,10.4640544674336
"Gogounou",2017,37.6976805781977,26.4299193864102,51.8531317401182,"MAP shared by Punam",5.74885775091197,7.22216896016353,7.22216896016353
"Gogounou",2018,32.4588632315433,21.6083324970816,44.8005065726228,"MAP shared by Punam",5.53598506860289,6.29675680667322,6.29675680667322
"Gogounou",2019,31.6689363282766,18.0290126848535,47.4058275854853,"MAP shared by Punam",6.95914471603223,8.02902615163706,8.02902615163706
"Kalale",2000,40.5680310135956,9.76621612713588,83.3387531879186,"MAP shared by Punam",15.7152116767652,21.8217970277158,21.8217970277158
"Kalale",2001,41.5386006250497,10.1113061010632,87.1931066185134,"MAP shared by Punam",16.0343339408094,23.2931153027876,23.2931153027876
"Kalale",2002,43.6261153146086,9.47800637996709,90.5038354318098,"MAP shared by Punam",17.4225045584906,23.9172041414292,23.9172041414292
"Kalale",2003,46.1245574478173,10.9181406665769,89.9581243467902,"MAP shared by Punam",17.9624575414492,22.364064744374,22.364064744374
"Kalale",2004,49.8320294671976,13.6484231725036,86.6812532332058,"MAP shared by Punam",18.4610236197418,18.8006243704123,18.8006243704123
"Kalale",2005,53.0997628376099,11.5771083853822,87.342595595718,"MAP shared by Punam",21.1850277817488,17.4708330398511,21.1850277817488
"Kalale",2006,55.4418294382336,12.1119009077156,89.5295807265067,"MAP shared by Punam",22.1071063931214,17.3917098409557,22.1071063931214
"Kalale",2007,55.1685709700173,14.1475325872728,89.0948063662068,"MAP shared by Punam",20.929101215686,17.3093037735661,20.929101215686
"Kalale",2008,54.0596504331836,19.013978369019,87.3745330591824,"MAP shared by Punam",17.8804449306962,16.9973890948974,17.8804449306962
"Kalale",2009,52.179047244427,23.6742799469566,83.2793366711762,"MAP shared by Punam",14.5432486211583,15.8674946054843,15.8674946054843
"Kalale",2010,50.1175394287521,27.4504105866088,75.2408124833075,"MAP shared by Punam",11.5648616541547,12.8179964564058,12.8179964564058
"Kalale",2011,48.4232693508861,29.9178597930771,68.229571163574,"MAP shared by Punam",9.44153548867807,10.1052560268816,10.1052560268816
